CID,z,RA,DEC,Delta_clean,Delta_hat_corr,Delta_post
2007st,0.02061,27.177,-48.6494,-0.18297353506863534,0.05264901669441291,-0.23562255176304825
ASASSN-17bs,0.02014,268.026,21.566,-0.04984804379819324,0.5268820577212512,-0.5767301015194444
2010A,0.02079,38.1644,0.6195,-0.20201089273679124,0.008072181162378955,-0.2100830738991702
2003W,0.02087,146.706,16.0438,-0.0013627062921315672,-0.023202634892570073,0.021839928600438506
2003W,0.02087,146.706,16.0438,-0.03354823479022902,0.10100863925078246,-0.13455687404101146
2001br,0.02046,277.607,34.1036,0.20953260376889038,0.06809100988377892,0.14144159388511146
ASASSN-16lc,0.02001,292.252,-51.971,-0.055575699781433646,-0.28227474064052566,0.226699040859092
AT2016eoa,0.01993,5.3461,22.4354,0.07003043195754884,0.5867205317453463,-0.5166900997877975
ASASSN-16lg,0.02093,267.051,17.6256,-0.2668908573896838,0.5375979437562266,-0.8044888011459104
2004bw,0.02207,225.945,-3.3046,0.13955238131620978,-0.09702358177413362,0.2365759630903434
2008Z,0.02146,145.814,36.2844,0.40603412870216243,0.017590673016241343,0.3884434556859211
2008Z,0.02146,145.814,36.2844,0.4751721776726856,0.4000834857917713,0.07508869188091433
2007bc,0.02187,169.811,20.809,0.08879763293483653,-0.0528293962795463,0.14162702921438283
2007bc,0.02187,169.811,20.809,0.06680105376890808,0.2759211694807102,-0.20912011571180214
2007bc,0.02187,169.811,20.809,0.08830826804109775,0.27267201231639226,-0.1843637442752945
SN2016ajf,0.01978,49.9771,41.565,0.2909967850110238,0.5901889679134231,-0.29919218290239935
2009dc,0.02179,237.801,25.7078,-0.4758866895772221,0.36949322442940663,-0.8453799140066287
2018fop,0.02017,18.8255,-6.859,-0.14932552575171318,-0.01684871141326083,-0.13247681433845235
ASASSN-15uv,0.02104,126.784,27.8116,-0.020480687237842007,0.2639409262578864,-0.2844216134957284
ASASSN-18da,0.02157,52.3194,-23.9786,-0.03499532635129274,-0.10500358392792075,0.07000825757662801
2006et,0.0214,10.6909,-23.5584,0.04933649250982102,0.31588608126760664,-0.2665495887577856
2006et,0.0214,10.6909,-23.5584,0.06393157561388943,0.2925981145501803,-0.22866653893629088
1999dg,0.02263,227.868,13.4849,0.1931208756815865,0.05757964784646741,0.1355412278351191
2001cp,0.02245,257.761,5.8411,0.1799656971533419,0.059785131768683,0.1201805653846589
1995ak,0.02193,41.4535,3.2306,0.035028410888025094,-0.11372741659076216,0.14875582747878724
2009na,0.02209,161.756,26.5439,0.050898617866442605,0.014533196558182304,0.0363654213082603
ASASSN-18iu,0.02202,269.418,50.0386,0.10859373068171807,0.10275699939000749,0.005836731291710584
ATLAS16dpb,0.02238,44.3919,5.9782,0.48427581830949873,0.579376124166119,-0.09510030585662033
SNF20080514-002,0.02292,202.303,11.2724,0.30640377357200793,0.03576964554971651,0.2706341280222914
2006dm,0.02161,355.449,-3.669,0.18388895449170062,-0.011355033915798451,0.19524398840749907
2006dm,0.02161,355.449,-3.669,0.20440683595459141,-0.07837423315689404,0.2827810691114855
2008ia,0.02257,132.647,-61.2779,0.23915423172299832,-0.033361094141308084,0.2725153258643064
2004bg,0.02214,170.256,21.3398,0.00315157175661393,0.04908535459382546,-0.04593378283721153
2004bg,0.02214,170.256,21.3398,0.09828600809388616,0.16225447411695665,-0.06396846602307049
2002cu,0.02217,272.71,31.109,0.15641074495336915,0.04717124185079785,0.1092395031025713
2006cp,0.02334,184.812,22.4273,0.034710353515373625,0.35937666345581687,-0.32466630994044327
2006cp,0.02334,184.812,22.4273,0.11640566042493576,0.02471468809658195,0.09169097232835381
2000fa,0.02181,108.874,23.4284,0.034437769426542794,0.06353701675304357,-0.02909924732650078
2000fa,0.02181,108.874,23.4284,0.0739853208309245,-0.20107876772326505,0.27506408855418957
ASASSN-16bn,0.02253,47.6437,4.2697,0.21693919115768107,0.07292456771125516,0.1440146234464259
ASASSN-17aj,0.02253,173.294,-10.2218,0.0023669381107337675,0.4091066265338199,-0.40673968842308617
AT2017cfb,0.02382,208.528,9.4128,0.02875162790637073,0.5654187520219796,-0.5366671241156088
2006bq,0.02226,279.995,39.9824,0.2425337484086429,0.4216255738089221,-0.17909182540027924
2002ef,0.02224,357.873,-13.3796,0.06822307617720118,-0.10860418407564802,0.1768272602528492
2010cr,0.02368,202.354,11.7962,0.6057639230029421,-0.04159840849005919,0.6473623314930013
ASASSN-15il,0.02374,239.284,-12.6733,0.019128047852830538,0.5154582841335427,-0.49633023628071216
2000cn,0.0226,269.418,27.8328,0.42013088587337327,0.14118332207096734,0.27894756380240593
2000cn,0.0226,269.418,27.8328,0.3977489142833041,-0.11836883601297307,0.5161177502962772
2017hoq,0.0235,79.8345,-17.6116,0.18765220869188665,-0.07832258379702195,0.2659747924889086
2009jb,0.02324,260.925,30.4973,0.04164587316053783,0.047671588532334816,-0.006025715371796983
2014ai,0.02317,139.934,33.7637,0.3632851721376795,0.3935083222034124,-0.030223150065732896
ASASSN-14fa,0.02262,43.0961,-31.8217,0.22951057454930468,-0.17013547471607782,0.3996460492653825
2004at,0.02287,164.688,59.4867,0.15722050499593324,0.0757803332911875,0.08144017170474574
PS15cku,0.02222,21.0939,3.5876,0.2948151307040492,0.5795234120348804,-0.28470828133083126
2007ci,0.02295,176.441,19.7705,0.028319541867496717,0.09747350695230994,-0.06915396508481322
2007ci,0.02295,176.441,19.7705,-0.15638236991154272,0.41158877168769614,-0.5679711415992389
2009al,0.02328,162.842,8.5785,0.2798889149895584,0.34297398724246353,-0.0630850722529051
2009al,0.02328,162.842,8.5785,0.2964958239563934,0.345629136306856,-0.04913331235046259
2009al,0.02328,162.842,8.5785,0.28338838162294383,0.39956249105386876,-0.11617410943092493
2009cz,0.02315,138.75,29.7353,0.09005273856656526,0.004921304430602468,0.08513143413596279
2009cz,0.02315,138.75,29.7353,0.08085309651599897,0.3845877668284538,-0.3037346703124548
ASASSN-15nr,0.02309,261.674,13.9098,0.04824102940367047,0.5827705808657389,-0.5345295514620684
2004bk,0.02405,204.37,4.1031,0.05973027323011601,-0.009562475011451077,0.06929274824156709
2018enc,0.0245,229.869,-9.8806,0.13818683831532425,-0.05237196642965225,0.1905588047449765
2007qe,0.0228,358.554,27.4093,0.2908263287722912,0.13594749943558715,0.15487882933670405
2007qe,0.0228,358.554,27.4093,0.20210429167467248,0.474288534512257,-0.2721842428375845
ATLAS17bas,0.02331,166.898,22.8514,-0.19717728851002692,0.5501592909935968,-0.7473365795036238
ASASSN-15tz,0.0222,40.287,43.6802,0.3463243079552012,0.6820207174869192,-0.335696409531718
2010ao,0.02422,205.921,3.9,0.1852951954248699,0.31371167621294394,-0.12841648078807402
2006sr,0.02307,0.8959,23.1962,0.32674627180218685,0.4507000701951443,-0.12395379839295745
ASASSN-15jt,0.02396,197.038,27.8264,0.3197375846239806,0.5673430266984958,-0.24760544207451518
ASASSN-16em,0.02296,203.057,84.6783,0.25464365422948526,0.5447211860521307,-0.29007753182264545
2000ca,0.02454,203.846,-34.1603,0.08157518170762247,-0.0035963895455714406,0.08517157125319391
1998eg,0.02358,339.876,8.6059,0.38541584173821275,-0.1175271179700847,0.5029429597082975
PS1-14xw,0.02436,253.24,2.3935,0.27786640313674627,0.015471984064315963,0.26239441907243033
2010gp,0.02436,253.239,2.3879,-0.20701619542866923,-0.04693056817338778,-0.16008562725528144
2000bh,0.02421,185.313,-21.9988,0.13031740198291328,0.01212758947216469,0.11818981251074859
2007F,0.0242,195.813,50.6188,0.1662765528797269,0.35816244533424024,-0.19188589245451335
2007F,0.0242,195.813,50.6188,0.2855484605983937,0.4294532445169311,-0.1439047839185374
1993H,0.0245,208.209,-30.7079,0.545750983962493,-0.0031745570389839495,0.548925541001477
AT2016bln,0.02425,203.689,13.8539,0.26604616933726943,0.5853473507021599,-0.3193011813648905
2006ac,0.02395,190.437,35.0686,0.2661549153626863,0.09299919525085809,0.17315572011182823
2006ac,0.02395,190.437,35.0686,0.25872296230020203,0.40646186534226036,-0.14773890304205833
ASASSN-15sf,0.02349,2.865,-6.4273,0.4279884812083021,0.3750730993668924,0.05291538184140965
2005bg,0.02414,184.322,16.3716,0.2221925485673392,0.3873417596357068,-0.16514921106836758
2009D,0.02476,58.5951,-19.1817,0.18542162536471837,0.3280237651493289,-0.14260213978461053
2009D,0.02476,58.5951,-19.1817,0.23498364288734686,0.3282787860459562,-0.09329514315860932
2009D,0.02476,58.5951,-19.1817,0.14563695873118648,0.38742836269695524,-0.24179140396576876
PS16ccn,0.02395,273.122,31.2799,0.3753231950389574,0.7057610254071778,-0.3304378303682204
2008bf,0.02451,181.012,20.2452,0.28942407258238356,-0.09958930632793228,0.38901337891031584
2008bf,0.02451,181.012,20.2452,0.23158109141576522,0.2221839292058795,0.009397162209885707
2008bf,0.02451,181.012,20.2452,0.09922985305921075,0.19342338272595572,-0.09419352966674496
1994M,0.02426,187.786,0.6054,0.2839996550172561,-0.15913778091227965,0.44313743592953575
2004br,0.02426,187.783,0.6132,-0.02769975360068322,0.039320421085536905,-0.06702017468622012
ASASSN-16hz,0.02406,348.94,-1.3396,0.10195717707931788,0.6026669377771918,-0.500709760697874
2003he,0.02404,359.738,-2.2481,0.32963975467496065,0.08049421705873205,0.2491455376162286
2001cj,0.02491,200.437,31.2468,0.3597027114153212,0.18096325432174454,0.17873945709357664
Gaia16agf,0.02553,98.5373,-25.1846,0.38278294139973956,0.43377634965314105,-0.050993408253401484
2007cq,0.02481,333.668,5.0803,0.07917914914236698,0.049439468175143345,0.02973968096722364
2007cq,0.02481,333.668,5.0803,0.10236143901985931,0.43335681463297754,-0.3309953756131182
2003it,0.02413,1.452,27.4527,0.41458235174433,0.2915142187643768,0.12306813297995323
2007cq,0.02481,333.668,5.0803,0.22990601222347484,0.13811470065836923,0.09179131156510562
AT2017cfc,0.02499,208.163,-2.0022,0.3060261601427283,0.5161216115162293,-0.21009545137350094
2011dn,0.02443,299.648,2.6045,-0.29320141768058666,0.032608343009842736,-0.3258097606904294
2007sw,0.025,183.404,46.4934,0.17015340512088456,0.5167036024689152,-0.34655019734803066
2012bh,0.025,183.406,46.4835,0.44407233337921,0.40495717025402944,0.03911516312518054
370356,0.025,183.406,46.4835,0.4538602595631455,-0.3602581988212098,0.8141184583843553
2002he,0.02469,124.995,62.8203,0.418704167197012,0.08845666070052238,0.3302475064964896
2002he,0.02469,124.995,62.8203,0.4265133393214123,0.21375788670133616,0.2127554526200761
2018jjd,0.02547,66.0835,-31.9874,0.1446304356197765,-0.06371236044586831,0.20834279606564482
2002bf,0.02494,153.926,55.6685,0.26326058369868705,0.2939176162953153,-0.030657032596628275
2002bf,0.02494,153.926,55.6685,0.19733697848754791,0.3083498089307655,-0.11101283044321761
ASASSN-16bq,0.02582,212.86,1.286,0.4768846051908611,0.5373107077478906,-0.06042610255702946
PS15ahs,0.02522,269.874,43.3901,0.3924405224003433,0.7129535888760645,-0.32051306647572125
PSNJ0153424,0.02474,28.4267,29.9363,0.47230362286698024,0.7150137089299052,-0.242710086062925
SN2017hn,0.02492,196.914,6.3376,0.2583663126255038,0.5846305700946745,-0.32626425746917065
1992ag,0.02592,201.041,-23.8788,0.0771935293152794,0.1765771757998622,-0.09938364648458281
SN2017ms,0.02538,156.676,36.6805,0.2889774243764547,0.6943979077456441,-0.40542048336918945
PSNJ2352371,0.02525,358.155,14.5525,0.729620940595878,0.6809121798464046,0.04870876074947339
2005M,0.02584,144.385,23.2007,0.4101337791793134,0.13817803261774442,0.27195574656156896
2005M,0.02584,144.385,23.2007,0.2588923786290505,0.41335530838241635,-0.15446292975336584
2005M,0.02584,144.385,23.2007,0.018796777795807143,0.45936028294408937,-0.44056350514828224
SN2017mf,0.02618,214.129,39.5864,0.5247356558429563,0.6443528918894001,-0.11961723604644381
2005mc,0.02597,126.776,21.646,0.6500298084411925,0.4951489352456047,0.1548808731955878
2005mc,0.02597,126.776,21.646,0.7553012972957889,0.5436074749176624,0.2116938223781265
ASASSN-15uu,0.02579,25.9859,17.0626,0.24203034905369308,0.6465542170419648,-0.4045238679882717
2005ms,0.02595,132.31,36.13,0.48751885519593074,0.4530818413238035,0.03443701387212722
1999gp,0.02603,37.9131,39.3812,0.4061579618151011,0.007736646329495944,0.39842131548560517
1999gp,0.02603,37.9131,39.3812,0.4221963667766688,0.27859848744404586,0.1435978793326229
ASASSN-15mf,0.02691,213.595,2.9755,0.37009357403053844,0.5770511074005158,-0.20695753336997735
ASASSN-17at,0.02643,174.64,25.3971,0.5276068858821015,0.6336049309783269,-0.10599804509622546
SNF20071021-000,0.0264,3.7493,16.335,0.5723062364232034,0.18598058441666904,0.3863256520065344
2013fn,0.02724,315.099,-14.4978,0.4679895179286282,0.05367956600714175,0.41430995192148645
2002eb,0.02633,334.772,24.5944,0.4183092437273792,0.2295046447455068,0.1888045989818724
2007co,0.02655,275.765,29.8971,0.5606530611223958,0.1946986355202539,0.36595442560214186
2007co,0.02655,275.765,29.8971,0.3735031723622517,0.18148564069220469,0.19201753167004704
2007co,0.02655,275.765,29.8971,0.46075612528038434,0.5589073797268924,-0.09815125444650807
1992P,0.02643,190.704,10.3601,0.4840288489863357,0.30547892872867566,0.17854992025766003
2007su,0.0266,334.787,13.1779,0.549280816017781,0.5884487462073518,-0.039167930189570765
ASASSN-15fa,0.02721,257.442,62.9743,0.6930701154421739,0.7440195975393352,-0.050949482097161325
2005na,0.02717,105.403,14.1333,0.29333957684140394,0.4779446125777909,-0.18460503573638698
2005na,0.02717,105.403,14.1333,0.3469945374148837,0.4717178989033392,-0.12472336148845553
2005na,0.02717,105.403,14.1333,0.2986739246623226,0.13415973877389625,0.16451418588842637
ASASSN-16av,0.02676,177.868,22.0261,0.5579206107091869,0.693310881200315,-0.13539027049112817
2006gj,0.0277,49.3992,-1.6917,1.0888562411187428,0.557510463264302,0.5313457778544408
2010ii,0.02704,339.555,35.4917,0.38040407208913013,0.5362456973411274,-0.15584162525199724
2006ev,0.02759,322.747,13.9892,0.9493152231134994,0.5410320857705981,0.4082831373429012
PSNJ0252467,0.02748,43.1946,46.9464,0.5357697063100668,0.798020599432931,-0.2622508931228642
2009aa,0.02827,170.926,-22.2707,0.5103175091735529,0.2959103056339427,0.21440720353961018
2011hb,0.02775,351.981,8.7794,0.47599004475559165,0.17746284515330785,0.2985271996022838
2005eq,0.02831,47.2055,-7.0332,0.6040601756731757,0.11887166547703565,0.48518851019614007
2005eq,0.02831,47.2055,-7.0332,0.6554125999462247,0.44171893260250816,0.21369366734371653
2005eq,0.02831,47.2055,-7.0332,0.662525541315891,0.44349847329998954,0.2190270680159015
2003U,0.02794,260.69,62.164,0.5440997348707107,0.3197759272587173,0.22432380761199344
2009ad,0.02834,75.8891,6.6599,0.5166950731620547,0.5437236836948002,-0.027028610532745523
2009ad,0.02834,75.8891,6.6599,0.48910428945486767,0.4834311179290453,0.0056731715258223625
2002el,0.02778,314.125,-18.5595,0.33210766628532634,0.07910914064761626,0.2529985256377101
2008ar,0.02732,186.158,10.8382,0.5939646066706129,0.13509658366331728,0.4588680230072956
2008ar,0.02732,186.158,10.8382,0.47303996802278997,0.43905759736755334,0.03398237065523663
2008ar,0.02732,186.158,10.8382,0.5323608661675789,0.507413869608678,0.02494699655890098
AT2017ns,0.02802,42.2932,14.6008,0.4925694281817513,0.7343392731417175,-0.24176984495996623
2004gs,0.02829,129.597,17.6277,0.8999437521866535,0.49972609984860106,0.4002176523380524
SN2017ckx,0.02779,117.045,28.2307,0.7369040593635076,0.79711715141927,-0.06021309205576242
2007is,0.02953,251.811,40.2436,0.5238044272929445,0.6300719259282147,-0.10626749863527019
2013bs,0.02859,259.342,41.0667,0.6552633576188736,0.5171059332019803,0.13815742441689327
1998ab,0.02806,192.197,41.9245,0.1430027189537995,-0.0048782957440260954,0.1478810146978256
1993ah,0.02828,357.959,-27.9618,0.5960430418236935,0.6457374661382761,-0.0496944243145826
2006qo,0.02871,120.035,56.3688,0.6758170724041259,0.620106356904386,0.05571071549973994
ASASSN-15la,0.02845,213.213,35.7112,0.29648858911736364,0.7135875811770834,-0.4170989920597198
1996C,0.02875,207.702,49.3186,0.6633421415655486,0.04838204336909933,0.6149600981964493
PS16cvc,0.02844,318.097,14.7793,0.7817425501008848,0.7979841506875981,-0.016241600586713312
ASASSN-15fs,0.0285,284.67,43.4689,0.4155161257247184,0.7808356158370265,-0.36531949011230813
2003ch,0.02895,109.491,9.693,0.8238804224906496,0.2424004711399509,0.5814799513506987
ASASSN-16ay,0.02895,108.059,7.2395,0.798278460647102,0.714262747047359,0.08401571359974291
PSNJ0859349,0.02874,134.895,45.9259,0.7044376934592416,0.7317070220901735,-0.0272693286309319
ASASSN-16fs,0.0299,221.777,11.5949,0.4842923016437373,0.6566779681829159,-0.17238566653917858
LSQ12gdj,0.02886,358.681,-25.6761,0.19492978669609606,0.003688404234142323,0.19124138246195374
2000cw,0.02896,356.855,28.3877,0.8053053149631515,0.2785006377280047,0.5268046772351468
2002de,0.0305,244.127,35.7084,0.510107169740118,0.2373668143793664,0.27274035536075164
ASASSN-16aj,0.03053,65.4509,-15.7554,0.6849375240285938,0.5986791247875933,0.08625839924100043
ASASSN-16br,0.029,236.376,-13.1528,0.613494776294615,0.614809047284327,-0.0013142709897119298
AT2017zd,0.03048,203.176,-21.8011,0.389930101179346,0.5479952315555565,-0.1580651303762105
ASASSN-16hh,0.02935,31.1559,21.5861,0.5923234028793118,0.2827397599138529,0.3095836429654589
ATLAS17ajn,0.02988,176.111,-28.4574,0.7286737593598588,0.5266291246320349,0.20204463472782386
Gaia16bba,0.02934,15.398,17.1013,0.575669920828165,0.7863009261505073,-0.21063100532234225
1997dg,0.02962,355.059,26.2033,1.022551650311017,0.027029302903060493,0.9955223474079565
2004ef,0.02978,340.542,19.9946,0.7442822300493743,0.2544404114637429,0.4898418185856314
2004ef,0.02978,340.542,19.9946,0.721159446400478,0.5839687740316579,0.1371906723688201
2004ef,0.02978,340.542,19.9946,0.7308505969634894,0.6218886781362478,0.1089619188272416
ASASSN-15nq,0.03025,259.33,33.4621,0.6510249986888702,0.7782257995648196,-0.12720080087594943
AT2017lm,0.03002,45.3849,-15.016,0.6416485414687955,0.6560696691215507,-0.014421127652755272
ASASSN-16fo,0.02994,203.149,-5.2725,0.5596549963831463,0.674127477603835,-0.11447248122068865
ASASSN-16es,0.02973,177.727,2.3069,0.6547425096425438,0.1157443858687631,0.5389981237737806
AT2016cyt,0.02965,317.399,15.1255,0.5718983505884212,0.7854980613834284,-0.21359971079500717
2013fy,0.03099,324.363,-47.0319,0.46334882577273767,0.027771124767163036,0.43557770100557464
ASASSN-15uw,0.03004,38.893,-6.0629,0.8029497111387413,0.6971317388793772,0.10581797225936407
ASASSN-16hr,0.0298,336.382,38.9844,0.5783672958707097,0.8338585883466854,-0.2554912924759757
PS15cwx,0.03007,78.6992,7.0504,0.6112837074900979,0.7272642099209293,-0.11598050243083147
1990O,0.03093,258.901,16.322,0.5755824934391353,0.3862221241206177,0.18936036931851757
2001ba,0.03136,174.507,-32.3308,0.703208457561833,0.19162992118085093,0.5115785363809822
2009eu,0.03072,247.171,39.5535,1.2144376918134776,0.28659007235129896,0.9278476194621786
2009fv,0.03072,247.434,40.8116,0.6232944691643706,0.6682076360566555,-0.04491316689228486
2009fv,0.03072,247.434,40.8116,0.5692557943387759,0.7736322412923193,-0.2043764469535434
SNF20080909-030,0.03013,330.454,13.0553,0.6436857951091939,0.254269988893463,0.3894158062157309
2008gg,0.03107,21.346,-18.1724,0.7519284464249024,0.47833286826964583,0.2735955781552566
2008gg,0.03107,21.346,-18.1724,0.6355232497849254,0.47799420971497814,0.15752904006994722
1999cc,0.03132,240.675,37.3596,0.7823983345606306,-0.006361966519741302,0.7887603010803719
AT2017wb,0.03093,165.331,70.6649,0.6104785582282667,0.7343110627604831,-0.12383250453221639
MASTEROTJ08,0.03156,128.237,-3.8579,0.7746996275870944,0.6512520386941234,0.12344758889297103
2007bd,0.03141,127.889,-1.1994,0.659976258514746,0.40503965598353897,0.254936602531207
2007bd,0.03141,127.889,-1.1994,0.7238754665633881,0.44501109639482195,0.27886437016856613
2007bd,0.03141,127.889,-1.1994,0.6610566955166064,0.42541822402687324,0.23563847148973316
2006bt,0.03241,239.127,20.046,0.8790138397800535,0.26013834365434163,0.6188754961257119
2006bt,0.03241,239.127,20.046,0.8574034157196139,0.5944860756704259,0.262917340049188
2006bt,0.03241,239.127,20.046,0.8978553629507479,0.5755330579105417,0.3223223050402062
2006bw,0.03075,218.486,3.7988,0.914410410257089,0.5705113921980596,0.34389901805902945
ASASSN-15hg,0.03107,148.452,9.1939,0.8408548830595592,0.6708246480106196,0.17003023504893966
ATLAS17axb,0.03264,205.847,-19.9437,0.634102714919672,0.6109739559954748,0.02312875892419719
2010gn,0.03123,259.458,40.8811,1.0442960352664765,0.2548598815844068,0.7894361536820698
CSS160428,0.03081,200.78,52.6491,0.7749296933379013,0.7942657959647998,-0.019336102626898555
2000dn,0.03081,346.274,-3.2003,0.8295193700129829,0.26741296625131106,0.5621064037616719
2006en,0.03081,347.521,30.2233,0.798088204123907,0.326283611203935,0.471804592919972
2006en,0.03081,347.521,30.2233,0.8462643261945714,0.641349819311595,0.2049145068829764
2008bq,0.03279,100.26,-38.0386,0.8081857302713067,0.3210110951745752,0.4871746350967315
ASASSN-16oz,0.03207,135.056,-13.634,0.4807759072366553,0.047229511252287554,0.4335463959843677
2006az,0.03158,183.061,56.1794,0.6471691915234057,0.5470073722946741,0.10016181922873157
010026,0.03174,160.674,58.8438,0.8000748200893796,-0.27135352739642055,1.0714283474858002
AT2017po,0.03201,240.965,39.9901,0.6525645172593393,0.8237789834830586,-0.17121446622371927
2007ai,0.03212,243.224,-21.6302,0.9489947024833514,0.492365471941957,0.45662923054139437
2007ai,0.03212,243.224,-21.6302,0.9467112757443888,0.5292821350660734,0.4174291406783155
2007ux,0.03183,152.333,14.9924,1.103612943359874,0.5055965291776127,0.5980164141822614
2007ux,0.03183,152.333,14.9924,0.9471329390597949,0.6599541226698309,0.287178816389964
ASASSN-15pr,0.03189,346.664,-12.5728,1.0368285463974,0.7306438828504561,0.30618466354694396
2008gl,0.03246,20.2284,4.8053,0.8259719285452505,0.605942066920437,0.22002986162481353
2008gl,0.03246,20.2284,4.8053,0.8013182947956896,0.5059634467707314,0.29535484802495826
2008gl,0.03246,20.2284,4.8053,0.8048016390384618,0.5280154999460727,0.27678613909238914
SN2016hpx,0.0337,90.8194,-26.8986,0.6599791557773161,0.5666866046529588,0.0932925511243573
SN2017cii,0.03337,248.333,23.7313,0.8713638916979193,0.8215082994822726,0.04985559221564673
2006te,0.03212,122.929,41.5547,0.8128522843529592,0.5934380443934153,0.2194142399595439
2006os,0.03212,43.7542,16.0097,1.0211988488184638,0.6561074186820468,0.365091430136417
2004as,0.0325,171.413,22.8304,0.8529339490130842,0.2050219118838583,0.6479120371292258
2004as,0.0325,171.413,22.8304,0.9757617542149968,0.3236176530698378,0.652144101145159
ASASSN-16bc,0.03314,181.357,-21.4004,0.628088129812116,0.6411288034163702,-0.013040673604254205
2008gp,0.03245,50.753,1.3619,0.7250219281583251,0.5775270260984005,0.14749490205992466
2008gp,0.03245,50.753,1.3619,0.7998694410496601,0.5409600582986412,0.2589093827510188
2010ag,0.03336,255.973,31.5017,0.817744219265953,0.3420831051000374,0.47566111416591556
2005iq,0.03292,359.635,-18.7092,0.9839389049476106,0.49100053232896373,0.49293837261864687
2005iq,0.03292,359.635,-18.7092,0.9649284223004673,0.4842388311141665,0.4806895911863008
PS15bsq,0.03309,355.467,-8.6379,0.8227239191122554,0.7644047829462058,0.05831913616604956
2004L,0.03344,156.767,16.0187,1.0076389767924927,0.40351304544709055,0.6041259313454022
2003gn,0.03316,338.465,20.8024,1.1794898767543862,0.3094916185554906,0.8699982581988956
2003cq,0.03323,179.059,60.522,0.9790036606368836,0.4474391802183906,0.531564480418493
2006S,0.0331,191.413,35.0868,0.9598211738075382,0.5848874747831304,0.37493369902440776
2011dl,0.03432,244.521,21.5511,0.8320497585438277,0.5566259315647164,0.2754238269791113
2006gr,0.03352,338.095,30.8287,0.9778025604648113,0.385206441389513,0.5925961190752983
2006gr,0.03352,338.095,30.8287,0.9992573940960814,0.7154450197913875,0.28381237430469386
ASASSN-16dw,0.03565,202.503,-27.9739,0.8521920733456094,0.5896876960146882,0.26250437733092125
2007ba,0.03533,229.178,7.3966,1.0598470864990541,0.6691424643004612,0.3907046221985929
ATLAS17ajs,0.0337,171.977,27.3458,1.012969621823824,0.8054984705059336,0.2074711513178904
1996bl,0.03481,9.0749,11.3946,0.7935605315073805,0.1408258642532806,0.6527346672540999
2003kc,0.0341,146.643,30.6553,0.9751963046274238,0.3928907068180393,0.5823055978093845
2003iv,0.03351,42.5302,12.8462,1.0744953124026693,0.400632613556014,0.6738626988466553
ASASSN-15jl,0.03492,230.671,50.9766,0.8996879063145266,0.8400688061729156,0.05961910014161098
1992bg,0.03574,115.486,-62.5194,0.9404901432805611,0.08617264101408578,0.8543175022664753
2005eu,0.03369,36.9303,28.1768,0.8186347840441301,-1.2669338148959215,2.0855685989400516
2005eu,0.03369,36.9303,28.1768,0.8141864257953647,-0.9686910228607082,1.7828774486560728
2008at,0.03497,156.801,71.4157,1.0279783341328284,0.7633071976388077,0.26467113649402063
ASASSN-15tg,0.03445,5.171,25.229,0.8317487683867695,0.9043521517992713,-0.07260338341250183
2007hu,0.03518,254.125,27.9779,1.1701859900969291,0.8558760214104195,0.3143099686865096
PTSS-16efw,0.03542,263.908,8.809,1.2497624006940509,0.8367604436454785,0.41300195704857234
2016fbk,0.03495,26.0272,34.3827,1.064942908997155,0.6893327394731504,0.3756101695240045
AT2016fbk,0.03495,26.0272,34.3827,1.2343604945254463,0.9185163921138482,0.3158441024115981
1994T,0.03564,200.378,-2.149,1.058934187722772,0.028272023992534756,1.0306621637302373
ASASSN-15mi,0.03501,210.815,41.6041,0.5774032251574563,0.8041527196443156,-0.22674949448685922
ASASSN-15ss,0.03592,93.1391,-14.2575,0.9518339896335647,0.7550537501645926,0.19678023946897205
2001ck,0.03544,219.459,30.4839,0.88221339882589,0.3538529509793156,0.5283604478465744
PS15bbn,0.03602,315.99,13.3684,1.1291594009325168,0.851835079331395,0.27732432160112175
ASASSN-15lu,0.03577,200.304,40.2657,1.0598887096270124,0.8061611519732,0.2537275576538124
2008hj,0.03643,1.008,-11.1687,0.9233621834947455,0.5686562544334692,0.3547059290612763
2008hj,0.03643,1.008,-11.1687,0.9068863913080712,0.6461942575465731,0.26069213376149813
2000dg,0.03725,1.5575,8.8882,1.1142999909399123,0.4410168228085054,0.6732831681314069
2002G,0.03631,196.98,34.0851,0.9793286045710852,0.37253579773150813,0.606792806839577
2002G,0.03631,196.98,34.0851,1.0752261487092087,0.5288270408611153,0.5463991078480934
2006mo,0.03616,11.6606,36.3327,1.2139167922523537,0.6890128098148938,0.52490398243746
2008ei,0.03654,334.388,33.2559,1.153768694505988,0.3958550033465657,0.7579136911594222
2002hu,0.03591,34.5836,37.4663,0.9444800075546128,0.37871228652289823,0.5657677210317146
2000cf,0.03646,238.234,65.9369,1.085731548215727,0.06195247594666714,1.0237790722690598
2001eh,0.03627,24.5504,41.6552,0.9339801489456502,0.38470648799482476,0.5492736609508254
2001eh,0.03627,24.5504,41.6552,0.9273576020660632,0.5058242199337082,0.42153338213235503
ASASSN-16db,0.03589,167.357,29.5732,0.9615544899172901,0.7939370764348133,0.16761741348247683
AT2016hns,0.03704,324.921,24.4065,1.0154264242258753,0.9013091084732411,0.11411731575263417
ASASSN-15bc,0.03639,61.561,-8.8856,0.9641177693812403,0.7531543290847373,0.21096344029650294
